TOWN,TOWN_ID,COUNTY,town_join,treatment_facility_count,peer_recovery_count,ssp_count,harm_reduction_count,has_treatment,has_peer_recovery,has_ssp,has_harm_reduction,service_diversity_score,avg_deaths_2021_2023,avg_ems_incidents_2022_2023,overdose_death_rank,ems_incident_rank,combined_burden_rank_score,overdose_death_burden_pct,ems_burden_pct,combined_burden_pct,access_coverage_pct,recovery_access_gap_score,gap_category,estimated_population,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_NOVEH,EPL_NOVEH,EP_POV150,EPL_POV150,EP_UNEMP,EPL_UNEMP,EP_NOHSDP,EPL_NOHSDP,social_vulnerability_pct,final_priority_score,priority_category,nearest_any_service_distance_miles,services_within_5_miles,services_within_10_miles,service_types_within_5_miles,service_types_within_10_miles,nearest_treatment_distance_miles,nearest_peer_recovery_distance_miles,nearest_ssp_distance_miles,nearest_harm_reduction_distance_miles,nearby_access_coverage_pct,distance_adjusted_priority_score,nearest_service_access_category,anchor_priority_score,anchor_priority_level,access_gap_level,anchor_priority_rank
REVERE,248,SUFFOLK,REVERE,0,0,0,0,0,0,0,0,0,27.33333333333333,181.5,15.0,18.0,33.0,0.96011396011396,0.9515669515669516,0.9558404558404558,0.0,0.9558404558404558,Very high gap,60594.2211360465,0.7849934073718094,0.7801657831258493,0.6829906629719514,0.7983604431868707,0.6579183964171919,17.103835060267258,0.6989431703758349,19.6520152851937,0.6462306756939193,7.427041910553298,0.6337517905783447,17.379922914153354,0.8180099245077134,0.7849934073718094,1.7061689121744787,Very high priority,2.141709325956542,4,4,4,4,2.141709325956542,3.0226637923455697,4.12829783997249,3.844465753126795,1.0,1.1090097929134113,Near,1.1090097929134113,Very high priority,Very high gap,1
RANDOLPH,244,NORFOLK,RANDOLPH,0,0,0,0,0,0,0,0,0,13.666666666666666,51.0,32.0,60.0,92.0,0.9102564102564102,0.8319088319088319,0.871082621082621,0.0,0.871082621082621,Very high gap,34690.254990296686,0.8011307827392002,0.7554883890155242,0.7657513040159505,0.907265389818066,0.6555344854112344,8.921497490473058,0.5570497314264043,13.542232993095762,0.5219567186921609,8.239407806454917,0.7788052898206175,13.534733326080657,0.7455460520791235,0.8011307827392002,1.5689337231410554,Very high priority,3.194587102618351,2,4,2,4,4.548133979724581,5.69966585408781,5.69966585408781,3.194587102618351,1.0,1.019806920041686,Near,1.019806920041686,Very high priority,Very high gap,2
MONTAGUE,192,FRANKLIN,MONTAGUE,0,0,0,0,0,0,0,0,0,6.666666666666667,28.5,70.0,92.0,162.0,0.8005698005698005,0.7364672364672364,0.7685185185185185,0.0,0.7685185185185185,Very high gap,8526.850904582767,0.632915856885756,0.6352267788661471,0.6572679776133666,0.1429965614444695,0.6657181554233392,9.832446932530498,0.5551309972777049,21.1001900118895,0.7147039824365468,4.319689688451867,0.4503068510014947,7.0641879489356185,0.5589820579417147,0.632915856885756,1.2549260751992384,Very high priority,6.281076217293528,0,10,0,4,6.281076217293528,6.281076217293528,6.281076217293528,6.281076217293528,1.0,0.815701948879505,Moderate distance,0.815701948879505,Very high priority,Very high gap,14
CHELSEA,57,SUFFOLK,CHELSEA,3,0,0,0,1,0,0,0,1,15.0,188.5,29.0,17.0,46.0,0.9173789173789174,0.9544159544159544,0.935897435897436,0.25,0.7019230769230769,High gap,39883.80198290072,0.9237436373755636,0.8988203222191418,0.8002139356573474,0.929354328263018,0.8534717390599982,27.83614115006942,0.8462656604553366,31.63257849281917,0.8440438906024261,9.061589309451678,0.7437799324823576,33.03060936804031,0.9565882059559208,0.9237436373755636,1.3503200531578472,Very high priority,0.0146882256274143,4,4,4,4,0.0146882256274143,2.2565918400516147,4.269028453890511,2.2565918400516147,1.0,0.8777080345526007,Very near,0.8777080345526007,Very high priority,High gap,7
EVERETT,93,MIDDLESEX,EVERETT,1,0,0,0,1,0,0,0,1,22.33333333333333,152.5,18.0,22.0,40.0,0.9515669515669516,0.9401709401709402,0.945868945868946,0.25,0.7094017094017094,High gap,48676.91612057914,0.8081861016096353,0.8233743349871908,0.731197972109642,0.8522780337701227,0.6069040323292458,19.57479150761165,0.7527093054217215,25.8571324368342,0.7426598516110879,6.689624382463935,0.5479610232841993,19.83394058426538,0.841441471728472,0.8081861016096353,1.2827303113982884,Very high priority,0.2925061238019748,4,4,4,4,0.2925061238019748,1.544029530838788,3.915893644926807,3.0735724344784927,1.0,0.8337747024088875,Very near,0.8337747024088875,Very high priority,High gap,10
METHUEN,181,ESSEX,METHUEN,0,0,0,0,0,0,0,0,0,13.333333333333334,99.0,34.0,36.0,70.0,0.9031339031339032,0.9002849002849003,0.9017094017094016,0.0,0.9017094017094016,Very high gap,52831.3515253701,0.5711359236739874,0.6087928771222486,0.6807009181098869,0.6947425059454014,0.3688250680751187,5.841832133533797,0.3455172648049363,14.594968275914065,0.4761118829238671,6.44726889609695,0.6144951988467313,10.783281590843504,0.6324090703287926,0.5711359236739874,1.4167080337402194,Very high priority,1.909015242773185,5,5,3,4,1.909015242773185,2.2002944348068594,1.909015242773185,6.92520885520409,1.0,0.9208602219311426,Very near,0.9208602219311426,Very high priority,Very high gap,4
MEDFORD,176,MIDDLESEX,MEDFORD,0,0,0,0,0,0,0,0,0,15.0,98.5,29.0,37.0,66.0,0.9173789173789174,0.896011396011396,0.9066951566951568,0.0,0.9066951566951568,Very high gap,61814.657153281056,0.393280607533132,0.4596606402174077,0.2697684253413192,0.584835709960897,0.4280562762226563,10.342009386629142,0.5342249914287401,12.986940421820808,0.4637922844830256,4.120067293874078,0.3751772936855096,6.851612840773905,0.4763754871385697,0.393280607533132,1.2632807787675764,Very high priority,2.4318817231096816,4,4,4,4,2.4649603072723822,2.516332073067766,4.095022499511483,2.4318817231096816,1.0,0.8211325061989246,Near,0.8211325061989246,Very high priority,Very high gap,11
BRAINTREE,40,NORFOLK,BRAINTREE,0,0,0,0,0,0,0,0,0,8.333333333333334,63.5,54.0,52.0,106.0,0.8404558404558404,0.8547008547008547,0.8475783475783476,0.0,0.8475783475783476,Very high gap,38752.93323650934,0.4798699768252744,0.3673424874535735,0.5477780325771601,0.572101289651026,0.4864269722298859,8.077382193412257,0.4573514442547617,9.774387828394945,0.3661874066325398,3.902733935457374,0.3766956885327198,6.69376597595608,0.4886002858364147,0.4798699768252744,1.2543057495883736,Very high priority,2.3375152955800576,4,4,4,4,2.3375152955800576,3.150734096277433,3.150734096277433,3.150734096277433,1.0,0.8152987372324428,Near,0.8152987372324428,Very high priority,Very high gap,15
DENNIS,75,BARNSTABLE,DENNIS,0,0,0,0,0,0,0,0,0,9.0,29.0,49.0,88.0,137.0,0.8618233618233618,0.7478632478632479,0.8048433048433048,0.0,0.8048433048433048,Very high gap,14742.808831441267,0.3766711692250241,0.4891796582085266,0.5247904156354253,0.1764077225606822,0.2382596165295863,3.5088082872654103,0.2482909258567823,11.330825349995036,0.4304173622354523,5.3906536110789816,0.460338509932335,3.886054565112481,0.3044772310681314,0.3766711692250241,1.108004573521565,High priority,7.612576839024569,0,7,0,3,7.612576839024569,7.612576839024569,22.2211851692505,7.612576839024569,0.75,0.8171533729721542,Moderate distance,0.8171533729721542,Very high priority,Very high gap,12
DRACUT,79,MIDDLESEX,DRACUT,0,0,0,0,0,0,0,0,0,8.333333333333334,36.5,54.0,74.0,128.0,0.8404558404558404,0.792022792022792,0.8162393162393162,0.0,0.8162393162393162,Very high gap,32293.22573945944,0.4830427791703022,0.5174591245024021,0.5277231507358201,0.3775571989407827,0.3908447483063351,4.704731216117692,0.336239935293593,9.82710047614376,0.3638143722920658,4.909201712512768,0.5065409879183318,8.537066013511554,0.6013333537557412,0.4830427791703022,1.2105178240236227,High priority,2.9326490999767305,4,4,4,4,2.9326490999767305,3.376282074015739,3.376282074015739,3.376282074015739,1.0,0.7868365856153549,Near,0.7868365856153549,Very high priority,Very high gap,18
